app_id,steam_tags,success
1967630,"Survival, Open World Survival Craft, Base-Building, Exploration, Crafting",True
400750,"World War II, Historical, Real Time Tactics, Strategy, Third Person",True
960170,"Rhythm, Music, Casual, Action, Anime",True
508440,"Sandbox, Simulation, Funny, War, Physics",True
799960,"Colorful, MMORPG, PvP, Deckbuilding, Crafting",True
2418520,"Farming Sim, Agriculture, Sandbox, Family Friendly, Life Sim",True
9900,"Free to Play, Sci-fi, Massively Multiplayer, Space, MMORPG",True
1013320,"Idler, Clicker, RPG, Free to Play, Action",True
1996010,"Survival Horror, Exploration, Female Protagonist, 1990's, Third-Person Shooter",True
435150,"Tactical RPG, RPG, Turn-Based Strategy, Story Rich, Fantasy",True
1206560,"Sandbox, God Game, Simulation, Pixel Graphics, Colony Sim",True
1210320,"Crafting, Singleplayer, Relaxing, Simulation, Medieval",True
1321440,"Controller, Comedy, Creature Collector, Local Co-Op, Turn-Based Combat",True
653530,"Detective, Mystery, Puzzle, Story Rich, Atmospheric",True
861650,"Skateboarding, Sports, Simulation, Singleplayer, Indie",True
763890,"Party-Based RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Tactics",True
1677280,"Singleplayer, Strategy, Wargame, RTS, Multiplayer",True
1562430,"Exploration, Fishing, Lovecraftian, Adventure, Open World",True
1817070,"Open World, Superhero, Action, Singleplayer, Story Rich",True
380600,"Fishing, Free to Play, Multiplayer, Simulation, Relaxing",True
1881700,"Open World, Massively Multiplayer, Survival, RPG, MMORPG",True
262060,"Turn-Based Combat, Dark Fantasy, Dungeon Crawler, Rogue-like, RPG",True
945360,"Multiplayer, Social Deduction, Online Co-Op, Space, Survival",True
1974050,,True
1190970,"Simulation, Relaxing, Building, Casual, Co-op",True
1527950,"RPG, Open World, Turn-Based Strategy, Party-Based RPG, Medieval",True
1129580,"Crafting, Building, Multiplayer, Co-op, Medieval",True
2325290,,True
1017180,"Driving, Open World, Multiplayer, Survival, Automobile Sim",True
881100,"Physics, Rogue-like, Pixel Graphics, Difficult, Dungeon Crawler",True
638230,"Beautiful, Atmospheric, Adventure, Indie, Exploration",True
1435790,"Puzzle, Co-op, Multiplayer, Escape Room, First-Person",True
2707930,,True
2637990,"Detective, Investigation, Casual, Short, Cute",True
835960,"Puzzle, Story Rich, First-Person, Philosophical, Sci-fi",True
460930,"Open World, Shooter, Co-op, Stealth, Multiplayer",True
1533390,"VR, Psychological Horror, Multiplayer, First-Person, Funny",True
488790,"RPG, Comedy, Dark Humor, Funny, Superhero",True
633230,"Anime, Multiplayer, Character Customization, Action, Fighting",True
674140,"Creature Collector, Adventure, Singleplayer, LGBTQ+, Story Rich",True
1293830,"Racing, Open World, Driving, Multiplayer, Automobile Sim",True
1718570,"Action RPG, 2D, Side Scroller, JRPG, Drama",True
1167630,"Destruction, Physics, Sandbox, Voxel, First-Person",True
1607250,,True
346010,"Simulation, Sandbox, Destruction, Physics, Medieval",True
2072450,"Action, JRPG, Adventure, Turn-Based Combat, Sexual Content",True
2071280,"Rogue-like, Co-op, Action Roguelike, Action, Multiplayer",True
1274570,"Horror, Online Co-Op, Multiplayer, Survival Horror, Sexual Content",True
1649080,"Management, Simulation, Building, Strategy, City Builder",True
1238810,"FPS, Multiplayer, Singleplayer, World War II, Shooter",True
436150,"Gambling, Card Game, Free to Play, Multiplayer, Sports",True
268500,"Isometric, Turn-Based Combat, Post-apocalyptic, Turn-Based Tactics, Military",True
1607680,"Co-op, Local Co-Op, Cute, Pixel Graphics, 2D Platformer",True
1106840,"Base-Building, Mining, Automation, Sandbox, Co-op",True
516750,"Automobile Sim, Simulation, Driving, Open World, Survival",True
546560,"VR, FPS, Story Rich, Horror, Female Protagonist",True
1895880,"Adventure, 3D Platformer, Singleplayer, Action-Adventure, Third Person",True
620,"Platformer, Puzzle, First-Person, Dark Humor, Story Rich",True
2221490,"Looter Shooter, Open World, Third-Person Shooter, Multiplayer, Singleplayer",True
1065310,"Western, Beat 'em up, Action-Adventure, Co-op, Third-Person Shooter",True
552520,"Open World, Action-Adventure, Multiplayer, Co-op, FPS",True
1147560,"Indie, Action, Action Roguelike, Pixel Graphics, 2D",True
1846380,"Racing, Multiplayer, Open World, Action, Driving",True
2384620,"Simulation, Sports, Strategy, Sandbox, Strategy RPG",True
1217060,"Rogue-lite, FPS, Rogue-like, Online Co-Op, Co-op",True
2008920,"Adventure, Puzzle, Action, Exploration, Action-Adventure",True
457140,"Colony Sim, Base-Building, Survival, Resource Management, Building",True
2484250,,True
1385380,"Rogue-like, Strategy, 2D, Fantasy, Roguelike Deckbuilder",True
1844380,"Strategy, Action RTS, Action, RTS, Real Time Tactics",True
49520,"Loot, Shooter, Action, Multiplayer, Co-op",True
2331330,"Mystery, Story Rich, Psychological Horror, Multiple Endings, Atmospheric",True
1222140,"Choices Matter, Story Rich, Multiple Endings, Cinematic, Singleplayer",True
1971650,"RPG, Turn-Based, JRPG, 2.5D, Party-Based RPG",True
2231380,"Open World, Co-op, Singleplayer, Multiplayer, Shooter",True
1158160,"Farming Sim, Life Sim, Relaxing, Dating Sim, Simulation",True
2518960,"Dungeon Crawler, CRPG, Party-Based RPG, Exploration, RPG",True
1824220,"Swordplay, Medieval, Massively Multiplayer, Hack and Slash, Multiplayer",True
635260,"Racing, Physics, Simulation, Massively Multiplayer, Relaxing",True
1593500,"Action, Singleplayer, Story Rich, Mythology, Adventure",True
47890,"Life Sim, Simulation, Character Customization, Building, Sandbox",True
1273400,"Simulation, Multiplayer, Building, Online Co-Op, Relaxing",True
2786680,"Sexual Content, Dating Sim, FMV, Visual Novel, Singleplayer",True
1924490,"Action, MOBA, PvP, Multiplayer, Hero Shooter",True
599140,"Pixel Graphics, Crafting, RPG, Simulation, Sandbox",True
459820,"Sexual Content, Nudity, Free to Play, Hentai, Dating Sim",True
523660,"Co-op Campaign, Action-Adventure, Third-Person Shooter, Singleplayer, FPS",True
386940,"Multiplayer, Party, Funny, Platformer, Local Co-Op",True
1969870,"Free to Play, FPS, PvP, Shooter, Multiplayer",True
1658920,"RPG, Turn-Based Strategy, Strategy, Turn-Based, Singleplayer",True
1536090,"Cozy, Farming Sim, Casual, Open World, Simulation",True
218620,"Co-op, Action, FPS, Heist, Multiplayer",True
986130,"Detective, Immersive Sim, Sandbox, Noir, Voxel",True
848450,"Open World Survival Craft, Survival, Underwater, Singleplayer, Open World",True
1328670,"Story Rich, RPG, Choices Matter, Sci-fi, Singleplayer",True
359320,"Space Sim, Space, Open World, Exploration, Sci-fi",True
655500,"Motocross, Motorbike, Multiplayer, Simulation, Offroad",True
1574240,"RPG, Open World, Adventure, Exploration, Dark Fantasy",True
1979440,"Anime, Open World, Action RPG, Singleplayer, Action",True
1971870,"Fighting, Action, Gore, Multiplayer, 2D Fighter",True
2000950,"Action, Singleplayer, FPS, Multiplayer, Shooter",True
8930,"Turn-Based Strategy, Strategy, Turn-Based, Multiplayer, Historical",True
1335200,"Sexual Content, Nudity, Hentai, Mature, Free to Play",True
2429860,"Sexual Content, Hentai, Nudity, Cute, Mature",True
975370,"Dwarf, Colony Sim, Strategy, Simulation, Base-Building",True
22320,"RPG, Open World, Fantasy, Classic, Great Soundtrack",True
1497440,"Adventure, Puzzle, Exploration, Indie, 3D",True
779340,"Strategy, Historical, War, Turn-Based Strategy, Grand Strategy",True
1237970,"FPS, Mechs, Multiplayer, Shooter, Singleplayer",True
444090,"Hero Shooter, Free to Play, Multiplayer, FPS, Shooter",True
431240,"Multiplayer, Casual, Mini Golf, Sports, Golf",True
1588010,"Sports, Simulation, RPG, Golf, Third Person",True
977950,"Rhythm, Music, Difficult, Level Editor, Singleplayer",True
233860,"Open World, Sandbox, RPG, Survival, Strategy",True
1150530,"Action, Adventure, Sandbox, Action-Adventure, Dungeon Crawler",True
524220,"Great Soundtrack, Story Rich, Female Protagonist, Hack and Slash, Action",True
392160,"Space Sim, Simulation, Sandbox, Economy, Space",True
1333350,"Sexual Content, Mature, Nudity, Hentai, Free to Play",True
671860,"FPS, Multiplayer, Shooter, Military, Destruction",True
1268590,"Strategy, Turn-Based Strategy, 4X, Grand Strategy, Simulation",True
38420,"Post-apocalyptic, RPG, Turn-Based, Strategy, Tactical",True
701160,"Tower Defense, Minimalist, City Builder, Building, Singleplayer",True
1062810,"Tactical RPG, Turn-Based Tactics, Rogue-lite, PvE, Rogue-like",True
1637320,"Singleplayer, Post-apocalyptic, Rogue-like, Action, Sci-fi",True
200210,"Pixel Graphics, MMORPG, Free to Play, Rogue-like, Perma Death",True
1601580,"Strategy, City Builder, Survival, Resource Management, Post-apocalyptic",True
2140330,"Sports, Simulation, Football (American), Strategy, PvP",True
1721470,"Horror, Free to Play, Singleplayer, Puzzle, First-Person",True
1258080,"Idler, Shop Keeper, Medieval, Crafting, Base-Building",True
